LEXICON,POS,RIGHT,LEFT,HAND_DIFF,MOV_ID,HAND,PLACE
MEZUN_0,Sıfat ,0.9773724893836508,1.2707156138919222,-0.2933431245082714,1,28,24
SAVAŞ_0,,0.5547211792843401,0.8475498959551451,-0.292828716670805,1,32,1
AKTARMAK_0,Eylem ,1.0186680651629891,1.3104717334257683,-0.29180366826277915,1,18,1
AKITMAK _0,Eylem ,0.39466849890265654,0.6864554204194944,-0.2917869215168378,1,19,1
AT_0,Ad ,0.8186094078249724,1.1088501113319544,-0.29024070350698206,1,18,23
AZALMAK _2,Eylem ,0.4031713474677217,0.6932926779462839,-0.2901213304785622,3,8,1
DURMAK_0,Eylem ,0.6345718259199538,0.9217139052456133,-0.2871420793256595,2,17,1
"ARABA SÜRMEK, ARABA KULLANMAK_0",Eylem ,1.0596901045767484,1.3468235593799056,-0.2871334548031572,1,25,1
PAYDOS_0,Ad ,0.6487924046260869,0.9354475524722433,-0.2866551478461564,1,14,1
ÇIFTLIK_0,Ad ,0.5270151769609036,0.8134629595993722,-0.2864477826384686,2,18,21
BULAŞMAK_0,Eylem ,1.0812619576787317,1.3667991570213904,-0.28553719934265875,1,7,1
YARIŞ_1,Ad ,0.7176156070081376,1.0029328767442767,-0.285317269736139,2,26,1
MARUL_0,,0.5456833313321283,0.8306192250721738,-0.28493589374004546,1,28,25
EZMEK_1,Eylem ,0.36856091393986573,0.6524117623824882,-0.2838508484426225,1,28,26
KAPAK_0,Ad ,0.84136423581582,1.1247611734523144,-0.28339693763649443,1,28,21
İSTIFA ETMEK _0,Eylem ,0.4249792328347823,0.7082258007586721,-0.28324656792388986,1,28,21
İSTIFA_0,Ad ,0.4249792328347823,0.7082258007586721,-0.28324656792388986,2,28,24
ORMAN_0,Ad ,0.8722576303433124,1.153761552167412,-0.28150392182409967,1,19,1
TAŞIMAK _2,Eylem ,0.4471037833956881,0.7273254430102571,-0.280221659614569,3,29,1
AMA_0,Bağlaç ,0.8510927314462289,1.1282182066905788,-0.27712547524434994,1,28,1
GELENEKSEL_0,Sıfat ,0.6962156287448946,0.9731359931462628,-0.27692036440136814,1,17,1
İLERLEMEK_1,Eylem ,1.1057179810348705,1.381858847020443,-0.2761408659855724,2,17,21
NASIL _0,Belirteç ,0.6386673116955746,0.914592102580976,-0.27592479088540145,1,22,1
HILE _0,,0.8617775547412962,1.1371026517207456,-0.2753250969794494,7,22,1
ASLAN_0,,0.7048305227582011,0.9800472676026376,-0.2752167448444365,1,29,2
KULAKLIK_0,,0.7097821195629057,0.9842205936553469,-0.27443847409244115,2,22,7
BÖLMEK_0,,0.3906613613735456,0.6645558569808427,-0.2738944956072971,1,28,23
KAMP_1,Ad ,0.7230591458385762,0.9958933331770725,-0.2728341873384963,2,12,1
İLETMEK_0,Eylem ,0.7829210170630434,1.0554139332697765,-0.2724929162067331,1,22,1
SÜLALE_0,Ad ,0.9674141458666411,1.2380825362158283,-0.2706683903491872,1,17,1
RANDEVU_0,Ad ,1.1200408358127736,1.3900038653278874,-0.26996302951511386,1,17,1
MÜCADELE _0,Ad ,0.8745999203979002,1.1436841253419536,-0.2690842049440534,3,27,24
NASIL _1,,0.3060465353857325,0.5734463027809363,-0.2673997673952038,2,19,1
ELBISE _0,Ad ,0.6338477372714342,0.9002073178771366,-0.2663595806057024,2,19,13
KOVMAK_0,,0.40106754361050034,0.6672445876744557,-0.26617704406395537,2,9,24
ŞEMSIYE_0,Ad ,0.8566950620501435,1.1227318386409144,-0.26603677659077096,1,11,23
KAYNAK_0,Ad ,0.8743993954627605,1.1400969778645504,-0.26569758240179,1,32,21
PUL_0,Ad ,1.059799960135829,1.324560558376243,-0.264760598240414,1,30,9
UZATMAK_1,Eylem ,0.5649160753947944,0.8289004306834482,-0.2639843552886538,1,17,1
ONARMAK_0,Eylem ,1.2396016986461202,1.5030531023085718,-0.26345140366245157,2,18,23
MAYMUN_1,Sıfat ,1.3266555619179394,1.5899440148885515,-0.2632884529706121,2,1,13
